# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
AWTEventQueue.dispatchTimeMaxNs,1787298013410000000,1787298073432000000,1027604479
FlushQueue.executionTimeAvgNs,1787298013410000000,1787298073432000000,7677818.431264729
NonBlockingReadAction.finalizedExecutionTimeUs,1787298013410000000,1787298073432000000,3571664
AWTEventQueue.dispatchTimeTotalNS,1787298013410000000,1787298073432000000,25953279034
FlushQueue.queueSizeMax,1787298013410000000,1787298073432000000,114
FlushQueue.waitingTimeMaxNs,1787298013410000000,1787298073432000000,5905580031
AWTEventQueue.dispatchTime90PNs,1787298013410000000,1787298073432000000,2768895
FlushQueue.waitingTime90PNs,1787298013410000000,1787298073432000000,4697620479
NonBlockingReadAction.failedExecutionsCount,1787298013410000000,1787298073432000000,2
FlushQueue.executionTime90PNs,1787298013410000000,1787298073432000000,10354687
AWTEventQueue.eventsDispatched,1787298013410000000,1787298073432000000,6983
FlushQueue.tasksExecuted,1787298013410000000,1787298073432000000,1271
AWTEventQueue.dispatchTimeAvgNs,1787298013410000000,1787298073432000000,3715611.5583560076
FlushQueue.queueSize90P,1787298013410000000,1787298073432000000,86
FlushQueue.waitingTimeAvgNs,1787298013410000000,1787298073432000000,9.978761584484658E8
NonBlockingReadAction.finalizedExecutionsCount,1787298013410000000,1787298073432000000,46
FlushQueue.queueSizeAvg,1787298013410000000,1787298073432000000,26.68813825608798
FlushQueue.executionTimeMaxNs,1787298013410000000,1787298073432000000,1023410175
NonBlockingReadAction.failedExecutionTimeUs,1787298013410000000,1787298073432000000,140617
Indexes.stubs.lookupDurationAvgMs,1787298013410000000,1787298073432000000,10.0
VFSFlusher.totalFlushesRetried,1787298013410000000,1787298073432000000,0
Indexes.entries.lookupDuration90PMs,1787298013410000000,1787298073432000000,26.0
VFSFlusher.totalFlushes,1787298013410000000,1787298073432000000,3
Indexes.entries.lookups,1787298013410000000,1787298073432000000,8.0
VFSFlusher.totalContentionQuotaSpent,1787298013410000000,1787298073432000000,0
Indexes.entries.lookupDurationAvgMs,1787298013410000000,1787298073432000000,13.5
IndexesFlusher.totalFlushingTimeUs,1787298013410000000,1787298073432000000,1607676
Indexes.allKeys.lookupDurationMaxMs,1787298013410000000,1787298073432000000,0.0
Indexes.allKeys.lookups,1787298013410000000,1787298073432000000,0.0
IndexesFlusher.totalFlushes,1787298013410000000,1787298073432000000,102
Indexes.allKeys.lookupDurationAvgMs,1787298013410000000,1787298073432000000,0.0
VFSFlusher.totalFlushingTimeUs,1787298013410000000,1787298073432000000,35987
IndexesFlusher.totalContentionQuotaSpent,1787298013410000000,1787298073432000000,18
Indexes.stubs.lookupDuration90PMs,1787298013410000000,1787298073432000000,28.0
Indexes.stubs.lookups,1787298013410000000,1787298073432000000,44.0
Indexes.allKeys.lookupDuration90PMs,1787298013410000000,1787298073432000000,0.0
Indexes.entries.lookupDurationMaxMs,1787298013410000000,1787298073432000000,26.0
Indexes.stubs.lookupDurationMaxMs,1787298013410000000,1787298073432000000,60.0
IndexesFlusher.totalFlushesRetried,1787298013410000000,1787298073432000000,1
workspaceModel.init.bridges.ms,1787298013410000000,1787298073432000000,2
workspaceModel.to.snapshot.ms,1787298013410000000,1787298073432000000,8
workspaceModel.replace.project.model.ms,1787298013410000000,1787298073432000000,0
workspaceModel.update.unloaded.entities.ms,1787298013410000000,1787298073432000000,0
workspaceModel.loading.total.ms,1787298013410000000,1787298073432000000,277
workspaceModel.updates.precise.ms,1787298013410000000,1787298073432000000,44
workspaceModel.check.recursive.update.ms,1787298013410000000,1787298073432000000,3
workspaceModel.updates.ms,1787298013410000000,1787298073432000000,120
workspaceModel.loading.from.cache.ms,1787298013410000000,1787298073432000000,241
